id,activity_date,activity_hour,step_total,total_intensity,average_intensity
1503960366,2016-03-14,2016-03-14T09:00:00Z,2832,61,1.016667
1503960366,2016-03-14,2016-03-14T10:00:00Z,43,4,0.066667
1503960366,2016-03-14,2016-03-14T11:00:00Z,220,14,0.233333
1503960366,2016-03-14,2016-03-14T12:00:00Z,181,9,0.15
1503960366,2016-03-14,2016-03-14T13:00:00Z,12,1,0.016667
1503960366,2016-03-14,2016-03-14T14:00:00Z,44,6,0.1
1503960366,2016-03-14,2016-03-14T15:00:00Z,205,13,0.216667
1503960366,2016-03-14,2016-03-14T16:00:00Z,152,11,0.183333
1503960366,2016-03-14,2016-03-14T17:00:00Z,226,17,0.283333
1503960366,2016-03-14,2016-03-14T18:00:00Z,516,29,0.483333
1503960366,2016-03-14,2016-03-14T19:00:00Z,559,33,0.55
1503960366,2016-03-14,2016-03-14T20:00:00Z,1104,45,0.75
1503960366,2016-03-14,2016-03-14T21:00:00Z,252,12,0.2
1503960366,2016-03-14,2016-03-14T22:00:00Z,0,0,0
1503960366,2016-03-14,2016-03-14T23:00:00Z,3305,90,1.5
1503960366,2016-03-15,2016-03-15T00:00:00Z,33,3,0.05
1503960366,2016-03-15,2016-03-15T01:00:00Z,20,2,0.033333
1503960366,2016-03-15,2016-03-15T02:00:00Z,60,4,0.066667
1503960366,2016-03-15,2016-03-15T03:00:00Z,0,0,0
1503960366,2016-03-15,2016-03-15T04:00:00Z,7,1,0.016667
1503960366,2016-03-15,2016-03-15T05:00:00Z,0,0,0
1503960366,2016-03-15,2016-03-15T06:00:00Z,4,1,0.016667
1503960366,2016-03-15,2016-03-15T07:00:00Z,11,1,0.016667
1503960366,2016-03-15,2016-03-15T08:00:00Z,470,28,0.466667
1503960366,2016-03-15,2016-03-15T09:00:00Z,1967,49,0.816667
1503960366,2016-03-15,2016-03-15T10:00:00Z,729,17,0.283333
1503960366,2016-03-15,2016-03-15T11:00:00Z,659,34,0.566667
1503960366,2016-03-15,2016-03-15T12:00:00Z,1787,49,0.816667
1503960366,2016-03-15,2016-03-15T13:00:00Z,333,16,0.266667
1503960366,2016-03-15,2016-03-15T14:00:00Z,980,26,0.433333
1503960366,2016-03-15,2016-03-15T15:00:00Z,371,14,0.233333
1503960366,2016-03-15,2016-03-15T16:00:00Z,605,27,0.45
1503960366,2016-03-15,2016-03-15T17:00:00Z,623,19,0.316667
1503960366,2016-03-15,2016-03-15T18:00:00Z,467,15,0.25
1503960366,2016-03-15,2016-03-15T19:00:00Z,282,16,0.266667
1503960366,2016-03-15,2016-03-15T20:00:00Z,3319,86,1.433333
1503960366,2016-03-15,2016-03-15T21:00:00Z,1558,35,0.583333
1503960366,2016-03-15,2016-03-15T22:00:00Z,786,37,0.616667
1503960366,2016-03-15,2016-03-15T23:00:00Z,313,15,0.25
1503960366,2016-03-16,2016-03-16T00:00:00Z,0,0,0
1503960366,2016-03-16,2016-03-16T01:00:00Z,0,0,0
1503960366,2016-03-16,2016-03-16T02:00:00Z,4,1,0.016667
1503960366,2016-03-16,2016-03-16T03:00:00Z,0,0,0
1503960366,2016-03-16,2016-03-16T04:00:00Z,0,0,0
1503960366,2016-03-16,2016-03-16T05:00:00Z,0,0,0
1503960366,2016-03-16,2016-03-16T06:00:00Z,0,0,0
1503960366,2016-03-16,2016-03-16T07:00:00Z,70,6,0.1
1503960366,2016-03-16,2016-03-16T08:00:00Z,490,27,0.45
1503960366,2016-03-16,2016-03-16T09:00:00Z,1513,27,0.45
1503960366,2016-03-16,2016-03-16T10:00:00Z,224,12,0.2
1503960366,2016-03-16,2016-03-16T11:00:00Z,874,36,0.6
1503960366,2016-03-16,2016-03-16T12:00:00Z,1451,34,0.566667
1503960366,2016-03-16,2016-03-16T13:00:00Z,329,16,0.266667
1503960366,2016-03-16,2016-03-16T14:00:00Z,61,3,0.05
1503960366,2016-03-16,2016-03-16T15:00:00Z,456,19,0.316667
1503960366,2016-03-16,2016-03-16T16:00:00Z,775,28,0.466667
1503960366,2016-03-16,2016-03-16T17:00:00Z,1446,43,0.716667
1503960366,2016-03-16,2016-03-16T18:00:00Z,2407,74,1.233333
1503960366,2016-03-16,2016-03-16T19:00:00Z,103,7,0.116667
1503960366,2016-03-16,2016-03-16T20:00:00Z,447,16,0.266667
1503960366,2016-03-16,2016-03-16T21:00:00Z,2120,49,0.816667
1503960366,2016-03-16,2016-03-16T22:00:00Z,273,18,0.3
1503960366,2016-03-16,2016-03-16T23:00:00Z,455,18,0.3
1503960366,2016-03-17,2016-03-17T00:00:00Z,263,11,0.183333
1503960366,2016-03-17,2016-03-17T01:00:00Z,23,1,0.016667
1503960366,2016-03-17,2016-03-17T02:00:00Z,7,1,0.016667
1503960366,2016-03-17,2016-03-17T03:00:00Z,0,0,0
1503960366,2016-03-17,2016-03-17T04:00:00Z,0,0,0
1503960366,2016-03-17,2016-03-17T05:00:00Z,0,0,0
1503960366,2016-03-17,2016-03-17T06:00:00Z,0,0,0
1503960366,2016-03-17,2016-03-17T07:00:00Z,6,1,0.016667
1503960366,2016-03-17,2016-03-17T08:00:00Z,210,11,0.183333
1503960366,2016-03-17,2016-03-17T09:00:00Z,1530,27,0.45
1503960366,2016-03-17,2016-03-17T10:00:00Z,124,11,0.183333
1503960366,2016-03-17,2016-03-17T11:00:00Z,1803,54,0.9
1503960366,2016-03-17,2016-03-17T12:00:00Z,113,11,0.183333
1503960366,2016-03-17,2016-03-17T13:00:00Z,1124,23,0.383333
1503960366,2016-03-17,2016-03-17T14:00:00Z,1160,25,0.416667
1503960366,2016-03-17,2016-03-17T15:00:00Z,409,20,0.333333
1503960366,2016-03-17,2016-03-17T16:00:00Z,631,24,0.4
1503960366,2016-03-17,2016-03-17T17:00:00Z,203,5,0.083333
1503960366,2016-03-17,2016-03-17T18:00:00Z,396,15,0.25
1503960366,2016-03-17,2016-03-17T19:00:00Z,2165,64,1.066667
1503960366,2016-03-17,2016-03-17T20:00:00Z,147,16,0.266667
1503960366,2016-03-17,2016-03-17T21:00:00Z,2016,49,0.816667
1503960366,2016-03-17,2016-03-17T22:00:00Z,521,31,0.516667
1503960366,2016-03-17,2016-03-17T23:00:00Z,1176,35,0.583333
1503960366,2016-03-18,2016-03-18T00:00:00Z,389,13,0.216667
1503960366,2016-03-18,2016-03-18T01:00:00Z,112,6,0.1
1503960366,2016-03-18,2016-03-18T02:00:00Z,0,0,0
1503960366,2016-03-18,2016-03-18T03:00:00Z,0,0,0
1503960366,2016-03-18,2016-03-18T04:00:00Z,0,0,0
1503960366,2016-03-18,2016-03-18T05:00:00Z,4,1,0.016667
1503960366,2016-03-18,2016-03-18T06:00:00Z,19,2,0.033333
1503960366,2016-03-18,2016-03-18T07:00:00Z,0,0,0
1503960366,2016-03-18,2016-03-18T08:00:00Z,172,11,0.183333
1503960366,2016-03-18,2016-03-18T09:00:00Z,1952,36,0.6
1503960366,2016-03-18,2016-03-18T10:00:00Z,279,12,0.2
1503960366,2016-03-18,2016-03-18T11:00:00Z,207,12,0.2
1503960366,2016-03-18,2016-03-18T12:00:00Z,145,4,0.066667
1503960366,2016-03-18,2016-03-18T13:00:00Z,242,7,0.116667
1503960366,2016-03-18,2016-03-18T14:00:00Z,3160,86,1.433333
1503960366,2016-03-18,2016-03-18T15:00:00Z,852,33,0.55
1503960366,2016-03-18,2016-03-18T16:00:00Z,270,14,0.233333
1503960366,2016-03-18,2016-03-18T17:00:00Z,24,2,0.033333
1503960366,2016-03-18,2016-03-18T18:00:00Z,444,16,0.266667
1503960366,2016-03-18,2016-03-18T19:00:00Z,4093,110,1.833333
1503960366,2016-03-18,2016-03-18T20:00:00Z,1445,21,0.35
1503960366,2016-03-18,2016-03-18T21:00:00Z,332,14,0.233333
1503960366,2016-03-18,2016-03-18T22:00:00Z,13,2,0.033333
1503960366,2016-03-18,2016-03-18T23:00:00Z,390,12,0.2
1503960366,2016-03-19,2016-03-19T00:00:00Z,138,5,0.083333
1503960366,2016-03-19,2016-03-19T01:00:00Z,0,0,0
1503960366,2016-03-19,2016-03-19T02:00:00Z,0,0,0
1503960366,2016-03-19,2016-03-19T03:00:00Z,10,1,0.016667
1503960366,2016-03-19,2016-03-19T04:00:00Z,0,0,0
1503960366,2016-03-19,2016-03-19T05:00:00Z,0,0,0
1503960366,2016-03-19,2016-03-19T06:00:00Z,0,0,0
1503960366,2016-03-19,2016-03-19T07:00:00Z,53,2,0.033333
1503960366,2016-03-19,2016-03-19T08:00:00Z,538,28,0.466667
1503960366,2016-03-19,2016-03-19T09:00:00Z,3454,69,1.15
1503960366,2016-03-19,2016-03-19T10:00:00Z,2106,54,0.9
1503960366,2016-03-19,2016-03-19T11:00:00Z,1307,37,0.616667
1503960366,2016-03-19,2016-03-19T12:00:00Z,909,27,0.45
1503960366,2016-03-19,2016-03-19T13:00:00Z,303,13,0.216667
1503960366,2016-03-19,2016-03-19T14:00:00Z,150,14,0.233333
1503960366,2016-03-19,2016-03-19T15:00:00Z,123,6,0.1
1503960366,2016-03-19,2016-03-19T16:00:00Z,127,8,0.133333
1503960366,2016-03-19,2016-03-19T17:00:00Z,198,10,0.166667
1503960366,2016-03-19,2016-03-19T18:00:00Z,50,3,0.05
1503960366,2016-03-19,2016-03-19T19:00:00Z,533,26,0.433333
1503960366,2016-03-19,2016-03-19T20:00:00Z,433,22,0.366667
1503960366,2016-03-19,2016-03-19T21:00:00Z,75,6,0.1
1503960366,2016-03-19,2016-03-19T22:00:00Z,850,31,0.516667
1503960366,2016-03-19,2016-03-19T23:00:00Z,4067,111,1.85
1503960366,2016-03-20,2016-03-20T00:00:00Z,115,7,0.116667
1503960366,2016-03-20,2016-03-20T01:00:00Z,0,0,0
1503960366,2016-03-20,2016-03-20T02:00:00Z,0,0,0
1503960366,2016-03-20,2016-03-20T03:00:00Z,0,0,0
1503960366,2016-03-20,2016-03-20T04:00:00Z,0,0,0
1503960366,2016-03-20,2016-03-20T05:00:00Z,0,0,0
1503960366,2016-03-20,2016-03-20T06:00:00Z,0,0,0
1503960366,2016-03-20,2016-03-20T07:00:00Z,0,0,0
1503960366,2016-03-20,2016-03-20T08:00:00Z,0,0,0
1503960366,2016-03-20,2016-03-20T09:00:00Z,1109,36,0.6
1503960366,2016-03-20,2016-03-20T10:00:00Z,5000,113,1.883333
1503960366,2016-03-20,2016-03-20T11:00:00Z,1117,42,0.7
1503960366,2016-03-20,2016-03-20T12:00:00Z,312,20,0.333333
1503960366,2016-03-20,2016-03-20T13:00:00Z,343,18,0.3
1503960366,2016-03-20,2016-03-20T14:00:00Z,578,29,0.483333
1503960366,2016-03-20,2016-03-20T15:00:00Z,876,29,0.483333
1503960366,2016-03-20,2016-03-20T16:00:00Z,1373,22,0.366667
1503960366,2016-03-20,2016-03-20T17:00:00Z,1841,25,0.416667
1503960366,2016-03-20,2016-03-20T18:00:00Z,638,36,0.6
1503960366,2016-03-20,2016-03-20T19:00:00Z,718,40,0.666667
1503960366,2016-03-20,2016-03-20T20:00:00Z,421,14,0.233333
1503960366,2016-03-20,2016-03-20T21:00:00Z,78,4,0.066667
1503960366,2016-03-20,2016-03-20T22:00:00Z,57,3,0.05
1503960366,2016-03-20,2016-03-20T23:00:00Z,552,23,0.383333
1503960366,2016-03-21,2016-03-21T00:00:00Z,97,5,0.083333
1503960366,2016-03-21,2016-03-21T01:00:00Z,0,0,0
1503960366,2016-03-21,2016-03-21T02:00:00Z,0,0,0
1503960366,2016-03-21,2016-03-21T03:00:00Z,11,2,0.033333
1503960366,2016-03-21,2016-03-21T04:00:00Z,0,0,0
1503960366,2016-03-21,2016-03-21T05:00:00Z,0,0,0
1503960366,2016-03-21,2016-03-21T06:00:00Z,0,0,0
1503960366,2016-03-21,2016-03-21T07:00:00Z,55,6,0.1
1503960366,2016-03-21,2016-03-21T08:00:00Z,1114,27,0.45
1503960366,2016-03-21,2016-03-21T09:00:00Z,1113,17,0.283333
1503960366,2016-03-21,2016-03-21T10:00:00Z,308,17,0.283333
1503960366,2016-03-21,2016-03-21T11:00:00Z,467,17,0.283333
1503960366,2016-03-21,2016-03-21T12:00:00Z,1884,51,0.85
1503960366,2016-03-21,2016-03-21T13:00:00Z,184,9,0.15
1503960366,2016-03-21,2016-03-21T14:00:00Z,298,19,0.316667
1503960366,2016-03-21,2016-03-21T15:00:00Z,497,16,0.266667
1503960366,2016-03-21,2016-03-21T16:00:00Z,355,20,0.333333
1503960366,2016-03-21,2016-03-21T17:00:00Z,588,31,0.516667
1503960366,2016-03-21,2016-03-21T18:00:00Z,1564,28,0.466667
1503960366,2016-03-21,2016-03-21T19:00:00Z,396,18,0.3
1503960366,2016-03-21,2016-03-21T20:00:00Z,99,11,0.183333
1503960366,2016-03-21,2016-03-21T21:00:00Z,172,14,0.233333
1503960366,2016-03-21,2016-03-21T22:00:00Z,371,20,0.333333
1503960366,2016-03-21,2016-03-21T23:00:00Z,447,16,0.266667
1503960366,2016-03-22,2016-03-22T00:00:00Z,0,0,0
1503960366,2016-03-22,2016-03-22T01:00:00Z,0,0,0
1503960366,2016-03-22,2016-03-22T02:00:00Z,0,0,0
1503960366,2016-03-22,2016-03-22T03:00:00Z,0,0,0
1503960366,2016-03-22,2016-03-22T04:00:00Z,0,0,0
1503960366,2016-03-22,2016-03-22T05:00:00Z,0,0,0
1503960366,2016-03-22,2016-03-22T06:00:00Z,0,0,0
1503960366,2016-03-22,2016-03-22T07:00:00Z,0,0,0
1503960366,2016-03-22,2016-03-22T08:00:00Z,34,2,0.033333
1503960366,2016-03-22,2016-03-22T09:00:00Z,1732,26,0.433333
1503960366,2016-03-22,2016-03-22T10:00:00Z,497,24,0.4
1503960366,2016-03-22,2016-03-22T11:00:00Z,296,14,0.233333
1503960366,2016-03-22,2016-03-22T12:00:00Z,322,15,0.25
1503960366,2016-03-22,2016-03-22T13:00:00Z,657,24,0.4
1503960366,2016-03-22,2016-03-22T14:00:00Z,1657,44,0.733333
1503960366,2016-03-22,2016-03-22T15:00:00Z,455,13,0.216667
1503960366,2016-03-22,2016-03-22T16:00:00Z,278,9,0.15
1503960366,2016-03-22,2016-03-22T17:00:00Z,953,15,0.25
1503960366,2016-03-22,2016-03-22T18:00:00Z,1123,23,0.383333
1503960366,2016-03-22,2016-03-22T19:00:00Z,1479,22,0.366667
1503960366,2016-03-22,2016-03-22T20:00:00Z,366,22,0.366667
1503960366,2016-03-22,2016-03-22T21:00:00Z,349,14,0.233333
1503960366,2016-03-22,2016-03-22T22:00:00Z,4587,117,1.95
1503960366,2016-03-22,2016-03-22T23:00:00Z,351,10,0.166667
1503960366,2016-03-23,2016-03-23T00:00:00Z,14,2,0.033333
1503960366,2016-03-23,2016-03-23T01:00:00Z,50,3,0.05
1503960366,2016-03-23,2016-03-23T02:00:00Z,29,4,0.066667
1503960366,2016-03-23,2016-03-23T03:00:00Z,0,0,0
1503960366,2016-03-23,2016-03-23T04:00:00Z,0,0,0
1503960366,2016-03-23,2016-03-23T05:00:00Z,0,0,0
1503960366,2016-03-23,2016-03-23T06:00:00Z,0,0,0
1503960366,2016-03-23,2016-03-23T07:00:00Z,82,6,0.1
1503960366,2016-03-23,2016-03-23T08:00:00Z,534,25,0.416667
1503960366,2016-03-23,2016-03-23T09:00:00Z,1623,24,0.4
1503960366,2016-03-23,2016-03-23T10:00:00Z,504,17,0.283333
1503960366,2016-03-23,2016-03-23T11:00:00Z,414,19,0.316667
1503960366,2016-03-23,2016-03-23T12:00:00Z,411,17,0.283333
1503960366,2016-03-23,2016-03-23T13:00:00Z,1226,37,0.616667
1503960366,2016-03-23,2016-03-23T14:00:00Z,2674,76,1.266667
1503960366,2016-03-23,2016-03-23T15:00:00Z,236,11,0.183333
1503960366,2016-03-23,2016-03-23T16:00:00Z,383,16,0.266667
1503960366,2016-03-23,2016-03-23T17:00:00Z,411,14,0.233333
1503960366,2016-03-23,2016-03-23T18:00:00Z,325,8,0.133333
1503960366,2016-03-23,2016-03-23T19:00:00Z,2937,80,1.333333
1503960366,2016-03-23,2016-03-23T20:00:00Z,1086,30,0.5
1503960366,2016-03-23,2016-03-23T21:00:00Z,61,5,0.083333
1503960366,2016-03-23,2016-03-23T22:00:00Z,119,10,0.166667
1503960366,2016-03-23,2016-03-23T23:00:00Z,413,19,0.316667
1503960366,2016-03-24,2016-03-24T00:00:00Z,311,23,0.383333
1503960366,2016-03-24,2016-03-24T01:00:00Z,0,0,0
1503960366,2016-03-24,2016-03-24T02:00:00Z,7,1,0.016667
1503960366,2016-03-24,2016-03-24T03:00:00Z,8,1,0.016667
1503960366,2016-03-24,2016-03-24T04:00:00Z,0,0,0
1503960366,2016-03-24,2016-03-24T05:00:00Z,8,1,0.016667
1503960366,2016-03-24,2016-03-24T06:00:00Z,0,0,0
1503960366,2016-03-24,2016-03-24T07:00:00Z,29,3,0.05
1503960366,2016-03-24,2016-03-24T08:00:00Z,553,36,0.6
1503960366,2016-03-24,2016-03-24T09:00:00Z,2041,43,0.716667
1503960366,2016-03-24,2016-03-24T10:00:00Z,90,8,0.133333
1503960366,2016-03-24,2016-03-24T11:00:00Z,63,7,0.116667
1503960366,2016-03-24,2016-03-24T12:00:00Z,1180,39,0.65
1503960366,2016-03-24,2016-03-24T13:00:00Z,770,36,0.6
1503960366,2016-03-24,2016-03-24T14:00:00Z,1320,41,0.683333
1503960366,2016-03-24,2016-03-24T15:00:00Z,504,17,0.283333
1503960366,2016-03-24,2016-03-24T16:00:00Z,210,26,0.433333
1503960366,2016-03-24,2016-03-24T17:00:00Z,526,14,0.233333
1503960366,2016-03-24,2016-03-24T18:00:00Z,66,5,0.083333
1503960366,2016-03-24,2016-03-24T19:00:00Z,75,3,0.05
1503960366,2016-03-24,2016-03-24T20:00:00Z,3858,107,1.783333
1503960366,2016-03-24,2016-03-24T21:00:00Z,1090,29,0.483333
1503960366,2016-03-24,2016-03-24T22:00:00Z,185,9,0.15
1503960366,2016-03-24,2016-03-24T23:00:00Z,294,12,0.2
1503960366,2016-03-25,2016-03-25T00:00:00Z,42,1,0.016667
1503960366,2016-03-25,2016-03-25T01:00:00Z,126,6,0.1
1503960366,2016-03-25,2016-03-25T02:00:00Z,5,1,0.016667
1503960366,2016-03-25,2016-03-25T03:00:00Z,7,1,0.016667
1503960366,2016-03-25,2016-03-25T04:00:00Z,0,0,0
1503960366,2016-03-25,2016-03-25T05:00:00Z,0,0,0
1503960366,2016-03-25,2016-03-25T06:00:00Z,0,0,0
1503960366,2016-03-25,2016-03-25T07:00:00Z,40,3,0.05
1503960366,2016-03-25,2016-03-25T08:00:00Z,565,25,0.416667
1503960366,2016-03-25,2016-03-25T09:00:00Z,1545,28,0.466667
1503960366,2016-03-25,2016-03-25T10:00:00Z,309,14,0.233333
1503960366,2016-03-25,2016-03-25T11:00:00Z,1226,34,0.566667
1503960366,2016-03-25,2016-03-25T12:00:00Z,78,4,0.066667
1503960366,2016-03-25,2016-03-25T13:00:00Z,187,7,0.116667
1503960366,2016-03-25,2016-03-25T14:00:00Z,419,13,0.216667
1503960366,2016-03-25,2016-03-25T15:00:00Z,0,0,0
1503960366,2016-03-25,2016-03-25T16:00:00Z,427,17,0.283333
1503960366,2016-03-25,2016-03-25T17:00:00Z,435,14,0.233333
1503960366,2016-03-25,2016-03-25T18:00:00Z,238,11,0.183333
1503960366,2016-03-25,2016-03-25T19:00:00Z,135,6,0.1
1503960366,2016-03-25,2016-03-25T20:00:00Z,2590,71,1.183333
1503960366,2016-03-25,2016-03-25T21:00:00Z,2390,52,0.866667
1503960366,2016-03-25,2016-03-25T22:00:00Z,151,13,0.216667
1503960366,2016-03-25,2016-03-25T23:00:00Z,89,7,0.116667
1503960366,2016-03-26,2016-03-26T00:00:00Z,16,2,0.033333
1503960366,2016-03-26,2016-03-26T01:00:00Z,179,9,0.15
1503960366,2016-03-26,2016-03-26T02:00:00Z,0,0,0
1503960366,2016-03-26,2016-03-26T03:00:00Z,19,3,0.05
1503960366,2016-03-26,2016-03-26T04:00:00Z,0,0,0
1503960366,2016-03-26,2016-03-26T05:00:00Z,0,0,0
1503960366,2016-03-26,2016-03-26T06:00:00Z,0,0,0
1503960366,2016-03-26,2016-03-26T07:00:00Z,0,0,0
1503960366,2016-03-26,2016-03-26T08:00:00Z,0,0,0
1503960366,2016-03-26,2016-03-26T09:00:00Z,69,7,0.116667
1503960366,2016-03-26,2016-03-26T10:00:00Z,394,21,0.35
1503960366,2016-03-26,2016-03-26T11:00:00Z,145,8,0.133333
1503960366,2016-03-26,2016-03-26T12:00:00Z,152,12,0.2
1503960366,2016-03-26,2016-03-26T13:00:00Z,393,21,0.35
1503960366,2016-03-26,2016-03-26T14:00:00Z,759,15,0.25
1503960366,2016-03-26,2016-03-26T15:00:00Z,828,29,0.483333
1503960366,2016-03-26,2016-03-26T16:00:00Z,5564,149,2.483333
1503960366,2016-03-26,2016-03-26T17:00:00Z,3053,87,1.45
1503960366,2016-03-26,2016-03-26T18:00:00Z,3785,102,1.7
1503960366,2016-03-26,2016-03-26T19:00:00Z,323,15,0.25
1503960366,2016-03-26,2016-03-26T20:00:00Z,207,14,0.233333
1503960366,2016-03-26,2016-03-26T21:00:00Z,252,19,0.316667
1503960366,2016-03-26,2016-03-26T22:00:00Z,785,39,0.65
1503960366,2016-03-26,2016-03-26T23:00:00Z,686,23,0.383333
1503960366,2016-03-27,2016-03-27T00:00:00Z,57,2,0.033333
1503960366,2016-03-27,2016-03-27T01:00:00Z,121,5,0.083333
1503960366,2016-03-27,2016-03-27T02:00:00Z,0,0,0
1503960366,2016-03-27,2016-03-27T03:00:00Z,0,0,0
1503960366,2016-03-27,2016-03-27T04:00:00Z,0,0,0
1503960366,2016-03-27,2016-03-27T05:00:00Z,0,0,0
1503960366,2016-03-27,2016-03-27T06:00:00Z,9,1,0.016667
1503960366,2016-03-27,2016-03-27T07:00:00Z,8,2,0.033333
1503960366,2016-03-27,2016-03-27T08:00:00Z,0,0,0
1503960366,2016-03-27,2016-03-27T09:00:00Z,393,20,0.333333
1503960366,2016-03-27,2016-03-27T10:00:00Z,5033,126,2.1
1503960366,2016-03-27,2016-03-27T11:00:00Z,321,11,0.183333
1503960366,2016-03-27,2016-03-27T12:00:00Z,100,5,0.083333
1503960366,2016-03-27,2016-03-27T13:00:00Z,684,28,0.466667
1503960366,2016-03-27,2016-03-27T14:00:00Z,652,27,0.45
1503960366,2016-03-27,2016-03-27T15:00:00Z,255,9,0.15
1503960366,2016-03-27,2016-03-27T16:00:00Z,99,7,0.116667
1503960366,2016-03-27,2016-03-27T17:00:00Z,214,17,0.283333
1503960366,2016-03-27,2016-03-27T18:00:00Z,540,28,0.466667
1503960366,2016-03-27,2016-03-27T19:00:00Z,2887,85,1.416667
1503960366,2016-03-27,2016-03-27T20:00:00Z,372,24,0.4
1503960366,2016-03-27,2016-03-27T21:00:00Z,461,26,0.433333
1503960366,2016-03-27,2016-03-27T22:00:00Z,367,15,0.25
1503960366,2016-03-27,2016-03-27T23:00:00Z,163,8,0.133333
1503960366,2016-03-28,2016-03-28T00:00:00Z,152,10,0.166667
1503960366,2016-03-28,2016-03-28T01:00:00Z,16,1,0.016667
1503960366,2016-03-28,2016-03-28T02:00:00Z,0,0,0
1503960366,2016-03-28,2016-03-28T03:00:00Z,0,0,0
1503960366,2016-03-28,2016-03-28T04:00:00Z,0,0,0
1503960366,2016-03-28,2016-03-28T05:00:00Z,0,0,0
1503960366,2016-03-28,2016-03-28T06:00:00Z,0,0,0
1503960366,2016-03-28,2016-03-28T07:00:00Z,0,0,0
1503960366,2016-03-28,2016-03-28T08:00:00Z,91,4,0.066667
1503960366,2016-03-28,2016-03-28T09:00:00Z,1801,30,0.5
1503960366,2016-03-28,2016-03-28T10:00:00Z,209,8,0.133333
